name,street,city,state,longitude,latitude
"SantaMaria563","523 S McClelland St","Santa Maria","CA",-120.43475601842383,34.94755801975148
"SantaMonica616","2235 Colorado Ave","Santa Monica","CA",-118.47504702325679,34.02817899548829
"SantaPaula630","250 W. Harvard Blvd.  #A","Santa Paula","CA",-119.07605303408394,34.34460799412085
"SantaRosa555","2570 Corby Ave","Santa Rosa","CA",-122.71679026201218,38.4150990603562
"SantaTeresa668","180 Martinvale Ln","San Jose","CA",-121.77802699700837,37.229753992161605
"SanYsidro677","6111 Business Center Ct","San Diego","CA",-117.00330803962578,32.568902015950954
"Seaside567","1180 Canyon Del Rey Blvd","Seaside","CA",-121.85321803291012,36.602672006284195
"Shafter660","548 Walker St","Shafter","CA",-119.27260799299582,35.50339600793244
"SimiValley680","3855-D  Alamo St.","Simi Valley","CA",-118.72165300823825,34.28752501229175
"Sonora569","885 Morning Star Drive","Sonora","CA",-120.37007697875148,37.98446998371951
"SouthLakeTahoe538","3344 Lake Tahoe Blvd.  #B","South Lake Tahoe","CA",-119.96969098223825,38.94536700516258
"SouthSacramento602","7775 La Mancha Way","Sacramento","CA",-121.42672651513793,38.47676644030807
"Stockton517","55 South Lincoln Street","Stockton","CA",-121.29784000166592,37.95061199830408
"stoneridge664","2621 Stoneridge Mall","Pleasanton","CA",-121.92874803297629,37.695302999436535
"Susanville531","2615 Main St","Susanville","CA",-120.63849438221332,40.41235289074703
"Taft575","165 Center St","Taft","CA",-119.45451700103214,35.13930000604098
"Temecula672","27851 Diaz Rd","Temecula","CA",-117.16135703826387,33.50606798357613
"ThousandOaks663","1810 East Avenida De Los Arboles","Thousand Oaks","CA",-118.84419098442615,34.21081999512893
"Torrance608","1785 W 220th St","Torrance","CA",-118.31112298104499,33.828534006061275
"Tracy642","2785 Auto Plaza Drive","Tracy","CA",-121.46752926288895,37.76210812600415
"Truckee513","11357 Donner Pass Rd.  #1","Truckee","CA",-120.2091069706758,39.325562002754566
"Tulare594","274 E Cross Ave","Tulare","CA",-119.3463302683311,36.21347952340786
"Tulelake553","399 Main St","Tulelake","CA",-121.47682692672763,41.95612735279456
"Turlock649","825 E Monte Vista Ave","Turlock","CA",-120.8393469643031,37.522576994971644
"TwentyninePalms638","3668 Adobe Rd.  #G-J","Twentynine Palms","CA",-116.0555519983431,34.186946993780765
"Ukiah535","542 S Orchard Ave","Ukiah","CA",-123.19952703230061,39.14755200461835
"Vacaville588","621 Orange Dr","Vacaville","CA",-121.94487498232391,38.37844897917401
